rank,aspect,mention_count,pct_of_aspects,mean_sentiment,median_sentiment,std_sentiment
203,wine region,7,0.1,4.429,4.0,0.535
204,packing,7,0.1,3.429,3.0,0.787
205,overall impression,7,0.1,4.857,5.0,0.378
206,flight prices,7,0.1,4.0,4.0,0.816
207,photography,7,0.1,4.286,5.0,0.951
208,destination suggestion,7,0.1,4.286,5.0,0.951
209,rural areas,7,0.1,4.571,5.0,0.535
210,tour guides,7,0.1,4.0,4.5,1.265
211,waterfalls,7,0.1,4.857,5.0,0.378
212,beauty,7,0.1,5.0,5.0,0.0
213,cost of living,7,0.1,3.571,5.0,1.813
214,route planning,7,0.1,4.286,4.0,0.488
215,time allocation,7,0.1,2.857,3.0,0.69
216,events,7,0.1,4.429,5.0,0.787
217,travel flexibility,7,0.1,4.0,4.0,1.0
218,temples,7,0.1,4.571,5.0,0.787
219,currency exchange,7,0.1,3.571,4.0,1.272
220,scenic routes,7,0.1,3.857,5.0,1.676
221,city activities,6,0.1,3.667,4.0,1.033
222,food quality,6,0.1,3.667,3.5,1.211
223,city accessibility,6,0.1,4.0,4.0,0.0
224,destination prioritization,6,0.1,3.333,4.0,1.033
225,castles,6,0.1,4.5,4.5,0.548
226,destination preference,6,0.1,3.0,3.0,2.191
227,city recommendation,6,0.1,4.333,5.0,1.633
228,city size,6,0.1,3.167,3.0,0.753
229,tourist activities,6,0.1,3.2,3.0,1.304
230,travel convenience,6,0.1,2.833,2.0,1.329
231,castle,6,0.1,4.5,4.5,0.548
232,boat tour,6,0.1,4.333,4.5,0.816
233,coastal areas,6,0.1,5.0,5.0,0.0
234,countryside,6,0.1,4.667,5.0,0.516
235,cycling,6,0.1,4.0,4.5,1.549
236,scuba diving,6,0.1,4.833,5.0,0.408
237,uniqueness,6,0.1,3.5,3.5,1.643
238,length of stay,6,0.1,4.0,4.0,1.095
239,accommodation cost,6,0.1,3.333,3.5,1.211
240,local hospitality,6,0.1,5.0,5.0,0.0
241,group tours,6,0.1,2.5,2.0,1.761
242,adventure activities,6,0.1,4.667,5.0,0.816
243,ruins,6,0.1,3.833,4.0,1.169
244,historical site,6,0.1,4.5,4.5,0.548
245,restaurant prices,6,0.1,2.333,1.5,1.751
246,hospitality,6,0.1,4.667,5.0,0.516
247,altitude,6,0.1,2.167,2.0,0.753
248,air quality,6,0.1,1.333,1.0,0.516
249,islands,6,0.1,4.833,5.0,0.408
